处方类型,CV_ka,CV_V,样本量,试验编号,GMR (%),90% CI 低 (%),90% CI 高 (%),均值差 (log),SE,是否通过BE
优质处方,0.2,0.15,12,1,93.78,85.29,103.12,-0.0642,0.0529,通过
优质处方,0.2,0.15,12,2,99.34,91.27,108.11,-0.0067,0.0471,通过
优质处方,0.2,0.15,12,3,94.76,87.65,102.44,-0.0538,0.0434,通过
优质处方,0.2,0.15,12,4,97.24,90.61,104.37,-0.0279,0.0394,通过
优质处方,0.2,0.15,12,5,103.48,95.97,111.57,0.0342,0.0419,通过
优质处方,0.2,0.15,12,6,97.19,88.27,107.01,-0.0285,0.0536,通过
优质处方,0.2,0.15,12,7,97.6,88.1,108.12,-0.0243,0.057,通过
优质处方,0.2,0.15,12,8,99.42,92.76,106.55,-0.0059,0.0386,通过
优质处方,0.2,0.15,12,9,102.46,93.96,111.72,0.0243,0.0482,通过
优质处方,0.2,0.15,12,10,94.56,87.25,102.49,-0.0559,0.0448,通过
优质处方,0.2,0.15,12,11,106.39,98.94,114.4,0.0619,0.0404,通过
优质处方,0.2,0.15,12,12,94.04,87.33,101.26,-0.0615,0.0412,通过
优质处方,0.2,0.15,12,13,101.46,92.31,111.5,0.0144,0.0526,通过
优质处方,0.2,0.15,12,14,100.18,92.32,108.71,0.0018,0.0455,通过
优质处方,0.2,0.15,12,15,91.57,84.11,99.71,-0.088,0.0474,通过
优质处方,0.2,0.15,12,16,96.8,89.09,105.16,-0.0326,0.0462,通过
优质处方,0.2,0.15,12,17,109.13,98.94,120.37,0.0874,0.0546,通过
优质处方,0.2,0.15,12,18,99.38,91.39,108.06,-0.0063,0.0467,通过
优质处方,0.2,0.15,12,19,107.38,99.29,116.14,0.0712,0.0436,通过
优质处方,0.2,0.15,12,20,91.37,83.64,99.82,-0.0902,0.0493,通过
优质处方,0.2,0.15,12,21,95.87,86.8,105.89,-0.0421,0.0553,通过
优质处方,0.2,0.15,12,22,113.06,103.46,123.57,0.1228,0.0495,通过
优质处方,0.2,0.15,12,23,98.22,90.81,106.24,-0.0179,0.0437,通过
优质处方,0.2,0.15,12,24,93.46,85.13,102.61,-0.0676,0.052,通过
优质处方,0.2,0.15,12,25,101.54,94.55,109.04,0.0153,0.0397,通过
优质处方,0.2,0.15,12,26,101.78,95.87,108.05,0.0176,0.0333,通过
优质处方,0.2,0.15,12,27,105.22,94.9,116.66,0.0509,0.0575,通过
优质处方,0.2,0.15,12,28,101.14,90.66,112.82,0.0113,0.0609,通过
优质处方,0.2,0.15,12,29,97.44,88.0,107.9,-0.0259,0.0567,通过
优质处方,0.2,0.15,12,30,102.16,95.78,108.96,0.0213,0.0359,通过
优质处方,0.2,0.15,12,31,99.21,92.97,105.87,-0.008,0.0362,通过
优质处方,0.2,0.15,12,32,101.48,93.35,110.31,0.0147,0.0465,通过
优质处方,0.2,0.15,12,33,107.02,100.22,114.27,0.0678,0.0365,通过
优质处方,0.2,0.15,12,34,98.98,92.45,105.96,-0.0103,0.038,通过
优质处方,0.2,0.15,12,35,101.71,95.63,108.17,0.0169,0.0343,通过
优质处方,0.2,0.15,12,36,105.95,97.39,115.27,0.0578,0.0469,通过
优质处方,0.2,0.15,12,37,100.81,93.71,108.44,0.0081,0.0406,通过
优质处方,0.2,0.15,12,38,108.51,100.58,117.05,0.0816,0.0422,通过
优质处方,0.2,0.15,12,39,101.15,94.77,107.96,0.0114,0.0363,通过
优质处方,0.2,0.15,12,40,106.32,97.18,116.33,0.0613,0.0501,通过
优质处方,0.2,0.15,12,41,89.36,84.0,95.06,-0.1125,0.0344,通过
优质处方,0.2,0.15,12,42,99.11,89.61,109.61,-0.009,0.0561,通过
优质处方,0.2,0.15,12,43,102.37,93.52,112.07,0.0235,0.0504,通过
优质处方,0.2,0.15,12,44,100.66,93.61,108.23,0.0065,0.0404,通过
优质处方,0.2,0.15,12,45,107.59,98.91,117.02,0.0731,0.0468,通过
优质处方,0.2,0.15,12,46,98.31,91.27,105.88,-0.0171,0.0414,通过
优质处方,0.2,0.15,12,47,102.0,93.59,111.17,0.0198,0.0479,通过
优质处方,0.2,0.15,12,48,100.67,91.84,110.36,0.0067,0.0511,通过
优质处方,0.2,0.15,12,49,99.88,89.68,111.24,-0.0012,0.06,通过
优质处方,0.2,0.15,12,50,101.48,91.73,112.27,0.0147,0.0563,通过
优质处方,0.2,0.15,12,51,98.75,93.15,104.68,-0.0126,0.0325,通过
优质处方,0.2,0.15,12,52,98.11,93.52,102.93,-0.0191,0.0267,通过
