HPMC(%),MgSt(%),Pressure(kN),Dose(mg),R_2h(%),R_4h(%),R_8h(%),R_12h(%),R_16h(%),R_24h(%)
21.236203565420873,0.5775225817529115,10.027220756865974,81.1829382719041,52.44,67.5,84.35,99.07,92.4,92.53
38.52142919229749,1.297031947352222,11.343084068383504,53.97983058107296,58.48,75.64,89.28,99.27,99.59,98.1
31.959818254342153,1.3109526824151598,10.124125811320962,77.21531526346959,48.3,74.9,91.24,95.15,100.0,96.33
27.959754525911098,1.4561448522473097,9.064430405084668,137.45623414545383,43.19,65.65,85.9,94.16,96.03,100.0
14.680559213273096,1.5891370005839924,9.44763045320721,113.21368258887469,32.26,58.37,73.92,87.97,91.55,97.53
14.67983561008608,1.963778119193802,13.52934521639271,183.90075666154624,40.4,58.67,79.23,91.13,93.03,99.31
11.742508365045984,1.274450522451793,10.47600462086951,172.61653426076612,36.05,58.75,72.52,90.33,90.65,92.0
35.98528437324806,0.984434709411869,12.371238332576905,101.2726027546814,57.95,75.47,95.08,95.29,97.58,94.14
28.033450352296263,1.6927792921530556,14.041007250258282,88.91351501469387,49.83,64.04,83.88,97.34,100.0,100.0
31.242177333881365,0.9062483768931113,16.284737943552383,106.95386122509004,55.02,77.7,92.74,93.87,100.0,100.0
10.617534828874074,1.1584571310584542,8.471745678093187,138.54424137722117,32.67,50.71,71.36,75.6,87.49,92.77
39.097295564859834,0.617684572013399,17.59292478690851,90.20954612343144,60.66,82.0,100.0,100.0,97.81,100.0
34.97327922401266,0.5380261151231862,15.534804673890893,143.6223361773701,64.84,83.06,94.26,96.06,100.0,100.0
16.370173320348286,1.9439726220168876,8.981108383386463,111.41174782868606,37.57,54.52,75.9,81.84,93.56,96.23
15.454749016213018,1.7539701807683088,18.482943489281325,132.80707712779702,52.01,63.49,89.58,92.92,94.1,97.4
15.502135295603015,1.5439613091405469,19.050468806381758,115.4189793702975,46.41,68.57,87.29,91.5,96.55,100.0
19.127267288786133,1.113429416621405,8.732935518258365,94.16986393128765,47.26,62.66,81.01,90.23,96.24,95.07
25.742692948967136,0.7599414801062687,11.322531777766445,192.2679960443235,50.51,66.41,89.9,97.04,96.3,100.0
22.958350559263472,0.734655564006629,17.674415357516736,164.54086912396411,51.04,70.43,91.61,99.53,100.0,98.32
18.736874205941255,0.875364347246893,16.9791162846039,71.01697636496789,54.08,70.84,87.86,97.56,99.6,94.71
28.355586841671386,1.3238399970591808,10.214252232276529,180.27019638468693,54.13,73.91,85.67,95.58,98.82,100.0
14.184815819561255,1.5718938840500936,10.512191880040524,123.11467973742705,35.29,53.18,75.21,89.05,92.86,95.44
18.764339456056547,1.4902960650765968,12.445665233496584,184.1828340341137,46.01,54.67,85.92,85.79,94.09,95.13
20.99085529881075,0.9199008454189143,13.814275822292256,169.97828839209728,45.57,73.0,85.96,95.32,97.13,100.0
